carpark_nm,carpark_type,addr,slots,lon,lat
운암공영주차장,노외,경기도 오산시 원동 812-5,593,127.0756038,37.1472682
오산 오색시장 제2공영주차장,노외,경기도 오산시 오산동 316-47,184,127.0709423,37.1534422
오산역 환승주차장,노외,경기도 오산시 오산동 621-3,216,127.066079,37.14696134
오색시장 주차장,노외,경기도 오산시 오산동 854-10,105,127.0696079,37.15150223
궐동 제1공영주차장,노외,경기도 오산시 궐동 21-3,70,127.0678352,37.16036858
궐동 제2공영주차장(차량등록사업소),노외,경기도 오산시 궐동 94,80,127.065091,37.1575168
원동 공영주차장,노외,경기도 오산시 원동 806-2,27,127.0724056,37.134663
은계동 공영주차장,노외,경기도 오산시 은계동 53,118,127.0717792,37.16291914
궐리사앞 공영주차장,노외,경기도 오산시 궐동 637-7,42,127.0622773,37.158531
궐동 복개천 주차장,노외,경기도 오산시 궐동 14-1,52,127.0664601,37.15993434
성산초교 뒤 공영주차장,노외,경기도 오산시 오산동 494-4,30,127.0669339,37.152133
원동 대림 공영주차장,노외,경기도 오산시 원동 404-9,34,127.0717721,37.138152
양산공영주차장(양산도서관 옆),노외,경기도 오산시 양산동 670-4,79,127.032747,37.193986
청학동 임시공영주차장,노외,경기도 오산시 청학동 58-18,57,127.0577068,37.15522316
밀머리길 임시공영주차장,노외,경기도 오산시 원동 377-20,23,127.0746945,37.13828659
세마역 임시공영주차장,노외,경기도 오산시 세교동 603-1,75,127.0433787,37.18635349
오산대역 환승주차장,노외,경기도 오산시 수청동 600,99,127.0607301,37.16978747
수청동공영주차장,노외,경기도 오산시 수청동 635-2,56,127.067656,37.16739744
내삼미동 임시공영주차장,노외,경기도 오산시 내삼미동 889,140,127.0569024,37.17669531
오산역제2환승주차장,노외,경기도 오산시 오산동 679-1,132,127.0672733,37.14462624
궐동 공영주차장,노외,경기도 오산시 궐동 692,229,127.0560661,37.15714959
누읍동 공영주차장,노외,경기도 오산시 누읍동 630-1,28,127.0532111,37.13933722
청학동 제2임시공영주차장,노외,경기도 오산시 청학동 188-5,51,127.0598016,37.15103793
세마대지 입구 공영주차장,노외,경기도 오산시 지곶동 89-1,84,127.0283722,37.18019816
독산성 서쪽 공영주차장,노외,경기도 오산시 양산동 산19-89,71,127.0155361,37.18148721
신장동임시공영주차장,노외,경기도 오산시 내삼미동 490-1,59,127.0560795,37.17765014
궐동 임시공영주차장,노외,경기도 오산시 궐동 701-7,14,127.0558766,37.15589526
궐리사학당 공영주차장,노외,경기도 오산시 궐동 635-2,16,127.0615872,37.15968041
내삼미동 제2임시공영주차장,노외,경기도 오산시 내삼미동 881-2,16,127.0548782,37.17505413
원동복개도로 노상주차장,노상,경기도 오산시 원동 759-1,53,127.071914,37.14746771
오산역환승센터 철도변노상주차장,노상,경기도 오산시 오산동 603-22,31,127.0673104,37.14822091
어울림(복개천)공영주차장,노외,경기도 오산시 원동 772-15,163,127.072068,37.14427156
수청동 임시공영주차장,노외,경기도 오산시 수청동561-3,10,127.0596326,37.17224956
세마역 환승주차장,노외,경기도 오산시 세교동 592-1,70,127.0439563,37.1873288
궐동 제3임시공영주차장,노외,경기도 오산시 궐동 613-2,44,127.0534574,37.1615052
문화의거리 제2공영주차장,노외,경기도 오산시 원동763-15,41,127.0707102,37.14583079
삼미공영주차장,노외,경기도 오산시 내삼미동 702-3,212,127.0615789,37.17713334
오산천공영주차장,노외,경기도 오산시 오산동 345-2,150,127.0706462,37.15555819
궐동 제4임시공영주차장,노외,경기도 오산시 궐동704-12,17,127.0547541,37.15581831
수청동 제2임시공영주차장,노외,경기도 오산시 수청동563-6,10,127.0602715,37.1711601
수청동 제3임시공영주차장,노외,경기도 오산시 수청동630-5,8,127.0682712,37.168848
꿈두레 임시공영주차장,노외,경기도 오산시 세교동 617-3,95,127.044486,37.18131277
